Product Name,Product Link,Image Link,Product Price,Product Description
Nike Dunk Low SE,https://www.nike.com/t/dunk-low-se-womens-shoes-CKQg1s/DV1160-101,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/eb9f0f8f-4e5b-4171-9fe0-4c7807d07d8c/dunk-low-se-womens-shoes-CKQg1s.png",$120,"Rewrite the Dunk story with this celebratory look inspired by sisterhood. From the colors (red nods to the origins of women's basketball) to the pendent honoring woman in sports, the '80s icon returns with classic details and throwback hoops flair. Its padded, low-cut collar lets you take your game anywhere—in comfort.Shown: Sail/Black/Muslin/Team RedStyle: DV1160-101"
Nike Air Max 90,https://www.nike.com/t/air-max-90-mens-shoes-6n3vKB/CN8490-001,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/baa2520d-49da-4a27-ab2c-7fb133fb3008/air-max-90-mens-shoes-6n3vKB.png",$130,"Nothing as fly, nothing as comfortable, nothing as proven. The Nike Air Max 90 stays true to its OG running roots with the iconic Waffle sole, stitched overlays and classic TPU details. Classic colors celebrate your fresh look while Max Air cushioning adds comfort to the journey.Shown: Wolf Grey/Black/White/BlackStyle: CN8490-001"
Air Jordan 1 Mid,https://www.nike.com/t/air-jordan-1-mid-womens-shoes-Kg3nnj/BQ6472-051,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/5d69c448-c436-452b-b45d-728f191c7879/air-jordan-1-mid-womens-shoes-Kg3nnj.png",$87.97,"The Air Jordan 1 Mid brings full-court style and premium comfort to an iconic look. Its Air-Sole unit cushions play on the hardwood, while the padded collar gives you a supportive feel.Shown: Black/Sail/Dark ConcordStyle: BQ6472-051"
Air Jordan 1 Mid SE,https://www.nike.com/t/air-jordan-1-mid-se-womens-shoes-wkMdft/DV1302-400,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/5054ae8b-346d-4d23-a034-026273e0eb9a/air-jordan-1-mid-se-womens-shoes-wkMdft.png",$135,The AJ1 mid remakes a classic. Bold colors and contrasting textures give you a fresh look with a familiar feel. Premium materials and accents give modern expression to an all-time favorite.Shown: Ice Blue/Black/Sail/Dark Powder BlueStyle: DV1302-400
Air Jordan I High G,https://www.nike.com/t/air-jordan-i-high-g-mens-golf-shoes-ZgQdl6/DQ0660-101,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/3f796e1e-1f14-444c-bef1-ffd2da6b62b4/air-jordan-i-high-g-mens-golf-shoes-ZgQdl6.png",$180,"Feel unbeatable, from the tee box to the final putt. Inspired by one of the most iconic sneakers of all time, the Air Jordan 1 G is an instant classic on the course. With Air cushioning underfoot, a Wings logo on the heel and an integrated traction pattern to help you power through your swing, it delivers all the clubhouse cool of the original AJ1—plus everything you need to play 18 holes in comfort.Shown: White/BlackStyle: DQ0660-101"
Nike Waffle Debut,https://www.nike.com/t/waffle-debut-womens-shoes-5Rl1KL/DH9523-200,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e6c44132-7f2e-4159-a0c8-f2c7093457d9/waffle-debut-womens-shoes-5Rl1KL.png",$60.97,"Retro gets modernized with these sleek sneaks inspired by the Nike Daybreak. Era-echoing suede and nylon are paired in complementary colors, and the updated wedge midsole gives you an extra lift. Style, comfort, iconic Waffle outsole—this is a perfect new addition to your daily rotation.Shown: Sesame/Desert Ochre/Black/Baroque BrownStyle: DH9523-200"
Nike Free Metcon 5,https://www.nike.com/t/free-metcon-5-mens-training-shoes-Vfsbpq/DV3949-700,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/86273f21-dc0a-4116-beda-02b0b914f20b/free-metcon-5-mens-training-shoes-Vfsbpq.png",$120,"When your workouts wade into the nitty gritty, the Nike Free Metcon 5 can meet you in the depths, help you dig deep to find that final ounce of force and come out of the other side on a high. It matches style with substance, forefoot flexibility with backend stability, perfect for flying through a cardio day or enhancing your agility. A revamped upper offers easier entry with a collar made just for your ankle.Shown: Volt/Wolf Grey/Black/Diffused BlueStyle: DV3949-700"
Nike Air Max Terrascape 90,https://www.nike.com/t/air-max-terrascape-90-mens-shoes-61rLc8/DQ3987-002,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/03770bba-9b94-44ce-97d1-92bd2a9a60ed/air-max-terrascape-90-mens-shoes-61rLc8.png",$89.97,"Air Max goes crunchy granola. The updated design pairs durable fabrics with colors that throw it back to your mom's favorite ski jacket from the '90s. You can throw them on or easily hook them to your pack with webbing pull tabs that double as clip points. A little crunch goes a long way, though—the classic Air technology makes every trail feel like you're literally walking on Air.Shown: Black/Black/Black/BlackStyle: DQ3987-002"
Air Jordan 1 Mid,https://www.nike.com/t/air-jordan-1-mid-big-kids-shoes-pGNQSG/DQ8423-014,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/b784f33f-b7c2-480d-af38-ccdaa09f5d40/air-jordan-1-mid-big-kids-shoes-pGNQSG.png",$110,"This iteration of the AJ1 reimagines Mike's first signature model with a fresh mix of colors. Premium materials, soft cushioning and a padded ankle collar offer total support and celebrate the shoe that started it all.Shown: Cement Grey/True Blue/WhiteStyle: DQ8423-014"
Nike Air Force 1 Fontanka,https://www.nike.com/t/air-force-1-fontanka-womens-shoes-cWbdwn/DX2675-100,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/5aeaa85e-531f-41a0-a42b-e94508213c7e/air-force-1-fontanka-womens-shoes-cWbdwn.png",$84.97,"Saturated with a burst of tangy colors, the AF1 Fontanka brings an extra zest to your step. Real and synthetic leather overlays, intricate stitching and a lifted midsole celebrate rebellious style while a cassette-shaped block of ultrasoft React foam in the heel adds a bold look steeped in comfort. Vibrant hues evoke the essence of summer, ensuring a hint of sunshine follows you wherever you go.Shown: Summit White/Solar Flare/Medium Soft Pink/Hyper PinkStyle: DX2675-100"
